name,gender,meaning,origin,language,root_name,variants,nicknames,related_names,source_name,source_url,confidence,notes
Harper,girl,"harp player","English occupational surname used as a given name","English",Harper,"Harpur","Harp","Piper; Hazel; Willow","Wikipedia - Harper (name)",https://en.wikipedia.org/wiki/Harper_(name),high,"Occupational surname meaning a harp player."
Hazel,girl,"hazel tree","English nature name","English",Hazel,"Hazell","Haze; Hazy","Ivy; Willow; Violet","Wikipedia - Hazel (given name)",https://en.wikipedia.org/wiki/Hazel_(given_name),high,"English given name from the hazel tree."
Henry,boy,"home ruler","Germanic name through Old French and English","Germanic",Heimirich,"Henri; Heinrich; Harry","Harry; Hank","Arthur; William; Theodore","Wikipedia - Henry (given name)",https://en.wikipedia.org/wiki/Henry_(given_name),medium,"Usually traced to Germanic elements meaning home and ruler."
Isla,girl,"island name, especially Islay","Scottish place-derived given name","Scottish Gaelic; English",Isla,"Ila; Islay","Issy","Ava; Ivy; Ella","Wikipedia - Isla (given name)",https://en.wikipedia.org/wiki/Isla_(given_name),medium,"Commonly associated with the Scottish island Islay."
Ivy,girl,"ivy plant","English nature name","English",Ivy,"Ivie","Ives","Hazel; Isla; Violet","Wikipedia - Ivy (name)",https://en.wikipedia.org/wiki/Ivy_(name),high,"English given name from the ivy plant."
Jack,boy,"God is gracious","English diminutive of John","English; Hebrew",John,"Jackson; Jacques","Jackie","John; James; William","Wikipedia - Jack (given name)",https://en.wikipedia.org/wiki/Jack_(given_name),medium,"As a form of John, the meaning follows the Hebrew root name."
Jasper,boy,"treasurer","Persian-derived name through Greek and Latin forms","Persian; Greek; Latin",Jasper,"Casper; Gaspar; Kasper","Jas; Jazz","Oscar; Felix; Arthur","Wikipedia - Jasper (given name)",https://en.wikipedia.org/wiki/Jasper_(given_name),medium,"Often traced to a Persian word meaning treasurer."
Leo,boy,"lion","Latin given name","Latin",Leo,"Leon; Leonardo; Leopold","Lee","Luca; Theodore; Felix","Wikipedia - Leo (given name)",https://en.wikipedia.org/wiki/Leo_(given_name),high,"Latin name meaning lion."
Levi,boy,"joined or attached","Hebrew biblical name","Hebrew",Levi,"Levy","Lev","Noah; Elijah; Ezra","Wikipedia - Levi (given name)",https://en.wikipedia.org/wiki/Levi_(given_name),medium,"Commonly explained from Hebrew biblical tradition."
Lily,girl,"lily flower","English flower name","English",Lily,"Lilly; Lillie; Lilian","Lil; Lils","Daisy; Violet; Rose","Wikipedia - Lily (name)",https://en.wikipedia.org/wiki/Lily_(name),high,"English given name from the lily flower."
Luca,boy,"from Lucania","Italian form related to Lucas/Luke","Italian; Latin",Lucas,"Lucas; Luka; Luke","Lu; Lukey","Leo; Levi; Noah","Wikipedia - Luca (given name)",https://en.wikipedia.org/wiki/Luca_(given_name),medium,"Usually treated as an Italian form of Lucas/Luke."
Matilda,girl,"strength in battle","Germanic name","Germanic",Mahthildis,"Mathilda; Maud; Tilda","Tilly; Tillie; Mattie","Alice; Charlotte; Harriet","Wikipedia - Matilda (name)",https://en.wikipedia.org/wiki/Matilda_(name),high,"From Germanic elements for strength/might and battle."
Mia,girl,"short form of Maria and other names","Multiple, including Scandinavian and Italian use","Multiple",Maria,"Miah; Miya","Mimi","Amelia; Ava; Isla","Wikipedia - Mia (given name)",https://en.wikipedia.org/wiki/Mia_(given_name),low,"Used across languages; meanings vary by origin."
Noah,boy,"rest or repose","Hebrew biblical name","Hebrew",Noah,"Noa","Noe","Levi; Elijah; Jonah","Wikipedia - Noah (name)",https://en.wikipedia.org/wiki/Noah_(name),medium,"Commonly explained from Hebrew biblical tradition."
Oliver,boy,"olive tree or olive-associated","Old French and Medieval English given name","Old French; Latin",Oliver,"Olivier; Ollie","Ollie","Oscar; Henry; Leo","Wikipedia - Oliver (given name)",https://en.wikipedia.org/wiki/Oliver_(given_name),medium,"Often associated with the olive tree, though the name history is more complex."
Olivia,girl,"olive tree or olive-associated","Literary name related to Oliver/olive","Latin; English",Olivia,"Olivie","Liv; Livvy","Amelia; Charlotte; Sophia","Wikipedia - Olivia (name)",https://en.wikipedia.org/wiki/Olivia_(name),medium,"Usually associated with olive/Oliver."
Ruby,girl,"ruby gemstone","English gemstone name","English; Latin",Ruby,"Rubie","Rue","Violet; Lily; Hazel","Wikipedia - Ruby (given name)",https://en.wikipedia.org/wiki/Ruby_(given_name),high,"English given name from the ruby gemstone."
Sophie,girl,"wisdom","French form of Sophia","Greek; French",Sophia,"Sophia; Sofia","Soph","Chloe; Emily; Grace","Wikipedia - Sophia (given name)",https://en.wikipedia.org/wiki/Sophia_(given_name),high,"From Greek sophia, meaning wisdom."
Theodore,boy,"gift of God","Greek given name","Greek",Theodoros,"Theo; Theodor; Teodor","Theo; Teddy","Leo; Henry; Arthur","Wikipedia - Theodore (name)",https://en.wikipedia.org/wiki/Theodore_(name),high,"From Greek elements meaning god and gift."
Violet,girl,"violet flower","English flower and colour name","English; Latin",Violet,"Violette; Viola","Vi; Vivi","Lily; Daisy; Hazel","Wikipedia - Violet (given name)",https://en.wikipedia.org/wiki/Violet_(given_name),high,"English given name from the violet flower."
William,boy,"will or desire plus protection","Germanic name brought into English through Norman French","Germanic",Wilhelm,"Wilhelm; Guillaume; Liam","Will; Billy; Liam","Henry; Jack; Oliver","Wikipedia - William (given name)",https://en.wikipedia.org/wiki/William_(given_name),medium,"Usually traced to Germanic elements for will/desire and helmet/protection."
Zoe,girl,"life","Greek given name","Greek",Zoe,"Zoey; Zoie","Zo","Chloe; Mia; Ivy","Wikipedia - Zoe (name)",https://en.wikipedia.org/wiki/Zoe_(name),high,"Greek name meaning life."
